TransactionID,Item1,Item2,Item3,Item4,Item5,Item6,Item7
1,Bread,Butter,Jam,Milk,Eggs,,
2,Milk,Eggs,Bread,,,,
3,Butter,Jam,,,,,
4,Apple,Juice,Bread,Butter,,,
5,Cereal,Milk,Banana,Sugar,,,
6,Soap,Shampoo,Toothpaste,,,,,
7,Apple,Milk,Bread,,,
8,Orange,Juice,Apple,Muffin,,,
9,Cheese,Butter,Eggs,,,,,
10,Bread,Butter,Milk,Jam,,,
11,Eggs,Banana,Bread,,,
12,Chicken,Beef,Milk,,,
13,Bread,Toothpaste,Soap,,,
14,Butter,Milk,Eggs,Cheese,,,
15,Apple,Orange,Milk,,,
16,Cereal,Milk,Sugar,,,
17,Soap,Toothpaste,Shampoo,,,
18,Banana,Apple,Orange,,,
19,Bread,Butter,Jam,,,
20,Juice,Apple,Banana,,,
21,Chicken,Beef,Eggs,,,
22,Bread,Milk,Butter,,,
23,Jam,Butter,Bread,,,
24,Cereal,Milk,Sugar,,,
25,Soap,Toothpaste,,,
26,Apple,Juice,,,
27,Orange,Banana,Bread,,,
28,Butter,Cheese,Eggs,,,
29,Milk,Eggs,Bread,,,
30,Banana,Muffin,Juice,,,
31,Apple,Orange,Juice,,,
32,Bread,Butter,Jam,,,
33,Milk,Bread,Butter,,,
34,Chicken,Beef,,,
35,Cheese,Eggs,Bread,,,
36,Soap,Shampoo,,,
37,Banana,Apple,,,
38,Juice,Apple,,,
39,Bread,Butter,,,
40,Milk,Eggs,,,
41,Orange,Banana,,,
42,Apple,Orange,,,
43,Cereal,Milk,,,
44,Soap,Toothpaste,,,
45,Chicken,Beef,,,
46,Bread,Butter,,,
47,Jam,Butter,,,
48,Apple,Juice,,,
49,Juice,Banana,,,
50,Cheese,Eggs,,,
51,Milk,Bread,,,
52,Butter,Jam,,,
53,Cereal,Milk,,,
54,Soap,Toothpaste,,,
55,Banana,Bread,,,
56,Apple,Orange,,,
57,Bread,Butter,,,
58,Milk,Eggs,,,
59,Jam,Bread,,,
60,Juice,Apple,,,
61,Chicken,Eggs,,,
62,Cereal,Sugar,,,
63,Soap,Shampoo,,,
64,Apple,Muffin,,,
65,Orange,Banana,,,
66,Cheese,Butter,,,
67,Bread,Butter,,,
68,Milk,Bread,,,
69,Jam,Butter,,,
70,Cereal,Milk,,,
71,Soap,Toothpaste,,,
72,Banana,Apple,,,
73,Apple,Orange,,,
74,Bread,Milk,,,
75,Butter,Jam,,,
76,Juice,Apple,,,
77,Chicken,Beef,,,
78,Cheese,Eggs,,,
79,Soap,Shampoo,,,
80,Banana,Bread,,,
81,Apple,Juice,,,
82,Orange,Juice,,,
83,Bread,Butter,,,
84,Milk,Eggs,,,
85,Jam,Bread,,,
86,Juice,Apple,,,
87,Chicken,Eggs,,,
88,Cereal,Sugar,,,
89,Soap,Shampoo,,,
90,Apple,Muffin,,,
91,Orange,Banana,,,
92,Cheese,Butter,,,
93,Bread,Butter,,,
94,Milk,Bread,,,
95,Jam,Butter,,,
96,Cereal,Milk,,,
97,Soap,Toothpaste,,,
98,Banana,Apple,,,
99,Apple,Orange,,,
100,Bread,Milk,,,
...
901,Butter,Jam,Bread,,,
902,Cereal,Milk,Banana,,,
903,Soap,Shampoo,Toothpaste,,,
904,Apple,Milk,Bread,,,
905,Orange,Juice,Apple,,,
906,Cheese,Butter,Eggs,,,
907,Bread,Butter,Milk,,,
908,Eggs,Banana,Bread,,,
909,Chicken,Beef,Milk,,,
910,Bread,Toothpaste,Soap,,,
911,Butter,Milk,Eggs,,,
912,Apple,Orange,Milk,,,
913,Cereal,Milk,Sugar,,,
914,Soap,Toothpaste,Shampoo,,,
915,Banana,Apple,Orange,,,
916,Bread,Butter,Jam,,,
917,Juice,Apple,Banana,,,
918,Chicken,Beef,Eggs,,,
919,Bread,Milk,Butter,,,
920,Jam,Butter,Bread,,,
921,Cereal,Milk,Sugar,,,
922,Soap,Toothpaste,,,
923,Apple,Juice,,,
924,Orange,Banana,Bread,,,
925,Butter,Cheese,Eggs,,,
926,Milk,Eggs,Bread,,,
927,Banana,Muffin,Juice,,,
928,Apple,Orange,Juice,,,
929,Bread,Butter,Jam,,,
930,Milk,Bread,Butter,,,
931,Chicken,Beef,,,
932,Cheese,Eggs,Bread,,,
933,Soap,Shampoo,,,
934,Banana,Apple,,,
935,Juice,Apple,,,
936,Bread,Butter,,,
937,Milk,Eggs,,,
938,Orange,Banana,,,
939,Apple,Orange,,,
940,Cereal,Milk,,,
941,Soap,Toothpaste,,,
942,Chicken,Beef,,,
943,Bread,Butter,,,
944,Jam,Butter,,,
945,Apple,Juice,,,
946,Juice,Banana,,,
947,Cheese,Eggs,,,
948,Milk,Bread,,,
949,Butter,Jam,,,
950,Cereal,Milk,,,
951,Soap,Toothpaste,,,
952,Banana,Bread,,,
953,Apple,Orange,,,
954,Bread,Milk,,,
955,Butter,Jam,,,
956,Juice,Apple,,,
957,Chicken,Beef,,,
958,Cheese,Eggs,,,
959,Soap,Shampoo,,,
960,Banana,Apple,,,
961,Apple,Orange,,,
962,Bread,Milk,,,
963,Butter,Jam,,,
964,Juice,Apple,,,
965,Chicken,Eggs,,,
966,Cereal,Sugar,,,
967,Soap,Shampoo,,,
968,Apple,Muffin,,,
969,Orange,Banana,,,
970,Cheese,Butter,,,
971,Bread,Butter,,,
972,Milk,Bread,,,
973,Jam,Butter,,,
974,Cereal,Milk,,,
975,Soap,Toothpaste,,,
976,Banana,Apple,,,
977,Apple,Orange,,,
978,Bread,Milk,,,
979,Butter,Jam,,,
980,Juice,Apple,,,
981,Chicken,Beef,,,
982,Cheese,Eggs,,,
983,Soap,Shampoo,,,
984,Banana,Bread,,,
985,Apple,Juice,,,
986,Orange,Juice,,,
987,Bread,Butter,,,
988,Milk,Eggs,,,
989,Jam,Bread,,,
990,Juice,Apple,,,
991,Chicken,Eggs,,,
992,Cereal,Sugar,,,
993,Soap,Shampoo,,,
994,Apple,Muffin,,,
995,Orange,Banana,,,
996,Cheese,Butter,,,
997,Bread,Butter,,,
998,Milk,Bread,,,
999,Jam,Butter,,,
1000,Cereal,Milk,,,
1001,Soap,Toothpaste,,,
